"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2007-10-23",7331.429,6389.938,5188.909,4973.182,6973.925,5081.328,8761.549,2325.504,3602.897,3650.518
"2007-10-24",7706.714,6363.587,5179.279,4923.311,7015.588,5082.348,8911.08,2279.582,3671.493,3637.952
"2007-10-25",7224.897,5959.363,4870.143,4673.442,6809.759,4791.435,8763.622,2139.531,3475.112,3389.159
"2007-10-26",7352.075,5987.886,4802.982,4632.068,6817.342,4944.265,9054.965,2131.04,3441.589,3398.681
"2007-10-29",7482.816,6207.22,4910.171,4692.359,6834.988,4886.51,9201.203,2163.775,3587.377,3515.285
"2007-10-30",7809.043,6298.71,5022.565,4725.923,6853.592,5105.442,9246.478,2187.204,3685.054,3617.958
"2007-10-31",7754.79,6321.146,5132.262,4859.279,6976.696,5237.121,9474.149,2277.569,3663.812,3689.533
"2007-11-01",8024.163,6088.509,4949.06,4679.102,6780.408,5048.646,9493.652,2184.638,3637.164,3599.734
"2007-11-02",7966.642,5813.195,4762.629,4517.878,6653.491,4904.968,9406.698,2202.808,3478.269,3491.616
"2007-11-05",7450.049,5780.168,4802.112,4586.694,6625.384,4812.612,8975.868,2294.437,3482.421,3531.149
"2007-11-06",7080.275,5735.248,4773.445,4629.468,6567.807,4818.333,8959.628,2297.42,3452.756,3521.035
"2007-11-07",7270.212,5736,4772.708,4644.284,6529.041,4725.238,9061.464,2275.066,3509.47,3511.543
"2007-11-08",6875.074,5421.112,4523.358,4464.327,6252.401,4499.863,8642.856,2210.937,3285.421,3382.876
"2007-11-09",6908.367,5268.14,4437.038,4393.999,6115.574,4478.438,8667.377,2193.641,3214.383,3304.967
"2007-11-12",6503.634,5133.441,4358.647,4283.802,6111.596,4425.783,8798.967,2217.592,3081.029,3206.683
"2007-11-13",6545.345,5122.813,4377.206,4299.598,6225.779,4401.648,8542.475,2233.565,3059.908,3233.584
